chan2,chan3,chan7,chan11,label
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_103.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_103.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_103.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_103.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_104.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_104.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_104.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_104.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_105.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_105.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_105.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_105.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_106.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_106.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_106.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_106.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_107.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_107.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_107.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_107.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_108.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_108.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_108.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_108.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_109.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_109.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_109.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_109.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_11.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_11.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_11.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_11.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_110.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_110.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_110.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_110.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_111.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_111.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_111.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_111.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_112.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_112.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_112.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_112.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_113.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_113.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_113.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_113.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_114.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_114.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_114.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_114.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_115.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_115.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_115.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_115.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_116.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_116.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_116.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_116.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_117.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_117.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_117.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_117.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_118.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_118.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_118.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_118.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_119.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_119.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_119.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_119.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_12.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_12.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_12.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_12.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_120.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_120.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_120.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_120.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_121.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_121.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_121.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_121.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_122.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_122.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_122.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_122.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_123.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_123.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_123.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_123.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_124.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_124.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_124.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_124.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_125.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_125.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_125.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_125.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_126.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_126.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_126.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_126.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_127.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_127.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_127.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_127.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_128.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_128.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_128.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_128.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_129.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_129.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_129.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_129.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_13.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_13.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_13.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_13.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_130.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_130.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_130.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_130.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_131.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_131.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_131.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_131.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_132.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_132.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_132.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_132.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_133.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_133.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_133.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_133.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_134.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_134.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_134.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_134.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_135.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_135.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_135.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_135.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_136.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_136.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_136.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_136.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_137.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_137.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_137.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_137.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_138.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_138.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_138.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_138.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_139.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_139.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_139.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_139.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_14.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_14.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_14.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_14.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_140.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_140.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_140.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_140.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_141.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_141.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_141.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_141.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_142.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_142.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_142.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_142.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_15.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_15.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_15.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_15.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_16.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_16.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_16.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_16.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_17.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_17.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_17.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_17.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_18.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_18.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_18.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_18.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_19.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_19.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_19.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_19.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_2.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_2.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_2.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_2.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_20.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_20.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_20.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_20.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_21.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_21.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_21.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_21.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_22.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_22.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_22.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_22.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_23.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_23.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_23.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_23.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_24.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_24.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_24.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_24.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_25.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_25.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_25.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_25.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_26.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_26.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_26.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_26.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_27.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_27.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_27.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_27.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_28.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_28.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_28.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_28.png,wbc platelet
